datetime,t,p0,humid,windspd,Td,rrr,mm24,mm48
31.08.2019 00:00,14.2,683.1,55,3,5.1,0,0,0
31.08.2019 03:00,13.1,682.7,54,1,4.0,0,0,0
31.08.2019 06:00,10.9,682.8,70,1,5.5,0,0,0
31.08.2019 09:00,17.9,683.1,51,3,7.7,0,0,0
31.08.2019 12:00,21.4,683.0,39,4,7.0,0,0,0
31.08.2019 15:00,22.0,682.9,30,2,3.6,0,0,0
31.08.2019 18:00,19.4,683.1,33,2,2.7,0,0,0
31.08.2019 21:00,12.6,683.5,61,2,5.1,0,0,0
01.09.2019 00:00,12.0,683.1,58,1,3.9,0,0,0
01.09.2019 03:00,12.3,682.5,54,4,3.2,0,0,0
01.09.2019 06:00,10.9,682.1,63,1,4.1,0,0,0
01.09.2019 09:00,18.3,681.7,42,3,5.2,0,0,0
01.09.2019 12:00,21.8,681.2,37,2,6.6,0,0,0
01.09.2019 15:00,22.6,680.7,33,3,5.6,0,0,0
01.09.2019 18:00,20.0,680.8,40,2,6.1,0,0,0
01.09.2019 21:00,14.8,681.2,61,3,7.4,0,0,0
02.09.2019 00:00,16.0,680.7,52,1,6.1,0,0,0
02.09.2019 03:00,13.9,680.4,63,1,6.9,0,0,0
02.09.2019 06:00,11.2,680.5,77,1,7.3,0,0,0
02.09.2019 09:00,19.8,680.7,46,3,7.8,0,0,0
02.09.2019 12:00,22.7,680.4,39,3,8.1,0,0,0
02.09.2019 15:00,23.3,680.2,33,1,6.2,0,0,0
02.09.2019 18:00,20.7,680.7,43,1,7.5,0,0,0
02.09.2019 21:00,15.8,681.7,63,2,8.7,0,0,0
03.09.2019 00:00,11.1,681.6,82,2,8.2,0,0,0
03.09.2019 03:00,9.4,681.5,86,1,7.1,0,0,0
03.09.2019 06:00,9.2,681.9,81,2,6.1,0,0,0
03.09.2019 09:00,19.8,682.1,44,0,7.2,0,0,0
03.09.2019 12:00,25.1,681.5,23,2,2.3,0,0,0
03.09.2019 15:00,25.8,681.3,22,1,2.4,0,0,0
03.09.2019 18:00,23.2,681.5,27,1,3.0,0,0,0
03.09.2019 21:00,16.4,682.6,47,2,5.1,0,0,0
04.09.2019 00:00,13.3,682.0,59,2,5.5,0,0,0
04.09.2019 03:00,12.1,681.6,64,2,5.4,0,0,0
04.09.2019 06:00,10.1,681.6,75,0,5.9,0,0,0
04.09.2019 09:00,20.7,681.3,42,2,7.2,0,0,0
04.09.2019 12:00,25.3,680.7,27,2,5.0,0,0,0
04.09.2019 15:00,25.1,680.4,24,1,3.1,0,0,0
04.09.2019 18:00,22.0,680.6,27,1,2.2,0,0,0
04.09.2019 21:00,16.0,681.1,52,4,6.2,0,0,0
05.09.2019 00:00,13.1,680.8,65,1,6.5,0,0,0
05.09.2019 03:00,11.6,680.7,69,2,6.1,0,0,0
05.09.2019 06:00,10.7,680.8,73,2,6.1,0,0,0
05.09.2019 09:00,21.7,680.8,31,3,4.0,0,0,6
05.09.2019 12:00,24.7,680.3,25,3,3.6,0,0,6
05.09.2019 15:00,25.1,679.9,26,2,4.2,0,0,6
05.09.2019 18:00,21.7,680.3,34,2,5.1,0,0,6
05.09.2019 21:00,16.7,680.6,54,3,7.2,0,0,6.8
06.09.2019 00:00,15.7,680.4,51,3,5.6,0,0,6.8
06.09.2019 03:00,13.1,680.2,67,1,7.0,0,0,6.8
06.09.2019 06:00,13.2,680.4,65,3,6.7,0,0,6.8
06.09.2019 09:00,19.8,680.8,44,1,7.2,0,6,8.8
06.09.2019 12:00,24.2,680.6,43,2,10.7,0,6,8.8
06.09.2019 15:00,19.3,680.7,62,5,11.7,0,6,8.8
06.09.2019 18:00,18.0,680.5,66,1,11.6,0,6,8.8
06.09.2019 21:00,14.5,680.9,84,2,11.8,0,6.8,8.8
07.09.2019 00:00,13.0,681.1,96,1,12.3,0,6.8,8.8
07.09.2019 03:00,14.1,680.7,93,1,12.9,0,6.8,8.8
07.09.2019 06:00,13.1,680.6,96,2,12.5,6,6.8,8.8
07.09.2019 09:00,14.2,681.4,97,0,13.7,0,2.8,2.8
07.09.2019 12:00,12.2,682.0,88,1,10.2,0,2.8,2.8
07.09.2019 15:00,12.3,682.0,85,1,9.8,0,2.8,2.8
07.09.2019 18:00,12.2,682.6,84,1,9.6,0.8,2.8,2.8
07.09.2019 21:00,11.0,683.6,91,1,9.6,0,2,2
08.09.2019 00:00,9.9,683.8,89,4,8.1,0,2,2
08.09.2019 03:00,10.3,683.7,84,4,7.7,0,2,2
08.09.2019 06:00,10.8,683.7,78,2,7.0,2,2,2
08.09.2019 09:00,13.0,684.1,69,6,7.3,0,0,0
08.09.2019 12:00,16.3,684.7,57,4,7.8,0,0,0
08.09.2019 15:00,16.7,685.0,52,4,6.8,0,0,0
08.09.2019 18:00,14.6,685.7,62,3,7.3,0,0,0
08.09.2019 21:00,11.9,686.0,75,3,7.5,0,0,0
09.09.2019 00:00,11.5,685.4,66,4,5.3,0,0,0
09.09.2019 03:00,10.8,684.8,70,2,5.4,0,0,0
09.09.2019 06:00,10.8,685.2,65,2,4.5,0,0,0
09.09.2019 09:00,14.2,685.0,62,5,6.9,0,0,0
09.09.2019 12:00,14.0,684.7,66,4,7.8,0,0,0
09.09.2019 15:00,15.1,684.3,65,3,8.5,0,0,0
09.09.2019 18:00,14.5,684.4,68,2,8.6,0,0,0
09.09.2019 21:00,13.3,684.8,77,2,9.4,0,0,0.3
10.09.2019 00:00,12.5,684.5,81,3,9.3,0,0,0.3
10.09.2019 03:00,11.6,683.8,88,3,9.6,0,0,0.3
10.09.2019 06:00,11.0,684.2,80,3,7.7,0,0,0.3
10.09.2019 09:00,13.0,684.4,74,3,8.4,0,0,0.3
10.09.2019 12:00,17.3,685.0,52,2,7.4,0,0,0.3
10.09.2019 15:00,17.0,684.9,56,3,8.1,0,0,0.3
10.09.2019 18:00,15.2,685.0,63,2,8.2,0,0,0.3
10.09.2019 21:00,13.4,685.4,72,2,8.4,0,0.3,0.3
11.09.2019 00:00,13.4,685.3,73,2,8.6,0,0.3,0.3
11.09.2019 03:00,13.4,685.3,80,1,9.9,0,0.3,0.3
11.09.2019 06:00,13.2,685.6,82,2,10.1,0,0.3,0.3
11.09.2019 09:00,13.1,686.5,93,0,11.9,0,0.3,0.3
11.09.2019 12:00,15.0,686.8,76,2,10.7,0,0.3,0.3
11.09.2019 15:00,18.1,687.2,57,3,9.4,0,0.3,0.3
11.09.2019 18:00,15.5,687.6,61,2,8.0,0.3,0.3,0.3
11.09.2019 21:00,13.2,687.9,72,4,8.3,0,0,0
12.09.2019 00:00,11.5,687.3,80,3,8.1,0,0,0
12.09.2019 03:00,10.3,686.7,82,3,7.3,0,0,0
12.09.2019 06:00,10.0,687.4,77,3,6.1,0,0,0
12.09.2019 09:00,15.6,687.4,49,3,4.8,0,0,0
12.09.2019 12:00,18.4,686.8,45,4,6.2,0,0,0
12.09.2019 15:00,18.3,686.8,44,3,5.9,0,0,0
12.09.2019 18:00,16.4,686.8,51,2,6.3,0,0,0
12.09.2019 21:00,12.4,687.1,67,3,6.3,0,0,0
13.09.2019 00:00,10.7,686.5,78,3,6.9,0,0,0
13.09.2019 03:00,9.2,685.6,81,3,6.1,0,0,0
13.09.2019 06:00,10.4,686.1,76,3,6.3,0,0,0
13.09.2019 09:00,15.7,686.2,55,3,6.5,0,0,0
13.09.2019 12:00,19.2,685.9,37,3,4.2,0,0,0
13.09.2019 15:00,19.7,685.3,35,3,3.7,0,0,0
13.09.2019 18:00,16.6,685.5,49,2,5.7,0,0,0
13.09.2019 21:00,13.2,685.8,56,3,4.5,0,0,0
14.09.2019 00:00,12.0,685.2,64,4,5.3,0,0,0
14.09.2019 03:00,8.0,684.8,82,1,5.1,0,0,0
14.09.2019 06:00,8.0,684.8,80,1,4.8,0,0,0
14.09.2019 09:00,17.1,684.7,47,2,5.6,0,0,0
14.09.2019 12:00,22.1,683.9,34,3,5.4,0,0,0
14.09.2019 15:00,21.8,683.6,39,2,7.0,0,0,0
14.09.2019 18:00,18.3,683.7,48,2,7.0,0,0,0
14.09.2019 21:00,13.2,684.0,70,2,7.7,0,0,0
15.09.2019 00:00,10.2,684.0,76,2,6.1,0,0,0
15.09.2019 03:00,8.7,684.1,76,3,4.7,0,0,0
15.09.2019 06:00,7.8,684.2,79,2,4.4,0,0,0
15.09.2019 09:00,18.0,684.6,46,1,6.0,0,0,3
15.09.2019 12:00,22.6,684.1,30,1,4.2,0,0,3
15.09.2019 15:00,21.2,684.2,34,1,4.6,0,0,3
15.09.2019 18:00,18.7,684.8,45,1,6.6,0,0,3
15.09.2019 21:00,12.5,685.9,68,2,6.7,0,0,5
16.09.2019 00:00,9.9,685.5,70,2,4.6,0,0,5
16.09.2019 03:00,7.5,685.2,78,1,3.8,0,0,5
16.09.2019 06:00,7.8,684.4,76,1,3.8,0,0,5
16.09.2019 09:00,16.0,683.2,50,1,5.4,0,3,5
16.09.2019 12:00,22.6,681.8,31,3,4.8,0,3,5
16.09.2019 15:00,22.3,680.8,34,2,5.8,0,3,5
16.09.2019 18:00,18.9,680.7,45,3,6.8,0,3,5
16.09.2019 21:00,13.7,681.2,71,2,8.4,0,5,5
17.09.2019 00:00,13.1,681.1,72,2,8.2,0,5,5
17.09.2019 03:00,11.7,681.1,92,1,10.4,0,5,5
17.09.2019 06:00,11.6,680.8,95,2,10.8,3,5,5
17.09.2019 09:00,11.6,680.9,95,0,10.8,0,2,2
17.09.2019 12:00,14.2,680.5,94,1,13.2,0,2,2
17.09.2019 15:00,15.8,679.6,81,0,12.5,0,2,2
17.09.2019 18:00,15.9,679.4,84,0,13.1,2,2,2
17.09.2019 21:00,13.7,680.3,93,2,12.6,0,0,0
18.09.2019 00:00,12.1,680.4,94,1,11.1,0,0,0
18.09.2019 03:00,10.0,680.5,92,2,8.8,0,0,0
18.09.2019 06:00,8.5,680.9,87,2,6.4,0,0,0
18.09.2019 09:00,16.3,681.5,62,1,9.0,0,0,0
18.09.2019 12:00,23.9,680.9,26,1,3.3,0,0,0
18.09.2019 15:00,24.6,680.5,28,1,4.8,0,0,0
18.09.2019 18:00,20.3,680.2,42,3,7.0,0,0,0
18.09.2019 21:00,12.8,680.8,72,2,7.8,0,0,0
19.09.2019 00:00,10.0,681.4,71,2,4.9,0,0,0
19.09.2019 03:00,8.2,682.6,76,1,4.2,0,0,0
19.09.2019 06:00,6.2,683.2,91,3,4.9,0,0,0
19.09.2019 09:00,14.6,684.1,64,1,7.8,0,0,7
19.09.2019 12:00,17.5,683.7,57,1,8.9,0,0,7
19.09.2019 15:00,15.7,684.1,67,1,9.6,0,0,7
19.09.2019 18:00,14.6,684.2,68,3,8.8,0,0,7
19.09.2019 21:00,13.5,684.3,73,4,8.7,0,0,16
20.09.2019 00:00,10.2,683.1,86,2,7.9,0,0,16
20.09.2019 03:00,7.5,683.3,95,1,6.7,0,0,16
20.09.2019 06:00,6.1,682.6,96,1,5.5,0,0,16
20.09.2019 09:00,12.7,681.7,67,1,6.7,0,7,17
20.09.2019 12:00,14.9,680.2,57,2,6.4,0,7,17
20.09.2019 15:00,17.7,678.5,45,3,5.7,0,7,17
20.09.2019 18:00,14.7,678.1,64,2,8.0,0,7,17
20.09.2019 21:00,9.9,678.3,87,2,7.8,0,16,17
21.09.2019 00:00,8.5,678.7,95,2,7.7,0,16,17
21.09.2019 03:00,6.8,679.7,96,2,6.2,0,16,17
21.09.2019 06:00,6.9,679.6,96,1,6.3,7,16,17
21.09.2019 09:00,6.0,680.8,97,1,5.5,0,10,10
21.09.2019 12:00,6.5,681.2,93,1,5.4,0,10,10
21.09.2019 15:00,8.5,681.6,65,3,2.2,0,10,10
21.09.2019 18:00,7.0,682.0,81,1,3.9,9,10,10
21.09.2019 21:00,4.7,683.8,88,3,2.9,0,1,1
22.09.2019 00:00,5.0,683.8,75,2,0.8,0,1,1
22.09.2019 03:00,4.0,683.9,70,1,-1.1,0,1,1
22.09.2019 06:00,3.1,684.8,65,0,-2.9,1,1,1
22.09.2019 09:00,8.7,685.3,45,2,-2.6,0,0,0
22.09.2019 12:00,12.8,684.2,40,2,-0.5,0,0,0
22.09.2019 15:00,16.0,683.2,35,1,0.4,0,0,0
22.09.2019 18:00,12.3,683.5,50,1,2.0,0,0,0
22.09.2019 21:00,5.4,684.2,84,2,2.9,0,0,0
23.09.2019 00:00,3.6,684.3,90,2,2.1,0,0,0
23.09.2019 03:00,2.6,683.8,91,1,1.3,0,0,0
23.09.2019 06:00,2.5,683.7,91,2,1.1,0,0,0
23.09.2019 09:00,10.8,683.9,60,1,3.3,0,0,0
23.09.2019 12:00,17.5,682.9,31,1,0.1,0,0,0
23.09.2019 15:00,19.0,682.1,33,1,2.4,0,0,0
23.09.2019 18:00,13.2,682.7,60,1,5.6,0,0,0
23.09.2019 21:00,9.8,683.5,71,1,4.8,0,0,0
24.09.2019 00:00,6.2,682.9,87,2,4.1,0,0,0
24.09.2019 03:00,4.6,682.6,92,2,3.4,0,0,0
24.09.2019 06:00,3.5,682.6,92,2,2.3,0,0,0
24.09.2019 09:00,13.0,682.6,54,1,3.9,0,0,0
24.09.2019 12:00,18.9,681.9,38,1,4.1,0,0,0
24.09.2019 15:00,19.3,681.4,45,1,7.0,0,0,0
24.09.2019 18:00,13.5,681.7,65,0,7.0,0,0,0
24.09.2019 21:00,10.7,681.4,77,2,6.7,0,0,1
25.09.2019 00:00,7.5,680.7,89,2,5.8,0,0,1
25.09.2019 03:00,9.0,680.2,84,1,6.4,0,0,1
25.09.2019 06:00,9.1,680.5,84,1,6.5,0,0,1
25.09.2019 09:00,13.8,681.0,65,1,7.2,0,0,4
25.09.2019 12:00,17.1,680.6,51,2,6.8,0,0,4
25.09.2019 15:00,18.8,680.0,50,4,8.1,0,0,4
25.09.2019 18:00,13.9,680.0,75,5,9.5,0,0,4
25.09.2019 21:00,13.1,679.8,78,2,9.3,0,1,4
26.09.2019 00:00,11.2,679.2,89,1,9.5,0,1,4
26.09.2019 03:00,10.4,679.1,96,0,9.8,0,1,4
26.09.2019 06:00,10.3,679.4,97,2,9.8,0,1,4
26.09.2019 09:00,13.2,680.7,83,1,10.3,0,4,11
26.09.2019 12:00,15.5,680.8,67,0,9.4,0,4,11
26.09.2019 15:00,13.8,681.3,83,1,10.9,0,4,11
26.09.2019 18:00,11.5,681.5,96,0,10.9,1,4,11
26.09.2019 21:00,10.4,681.7,97,0,10.0,0,3,10.8
27.09.2019 00:00,9.8,681.1,97,0,9.4,0,3,10.8
27.09.2019 03:00,8.7,680.8,97,1,8.3,0,3,10.8
27.09.2019 06:00,9.0,680.7,97,0,8.6,3,3,10.8
27.09.2019 09:00,11.2,680.8,97,1,10.7,0,7,8.1
27.09.2019 12:00,19.0,680.5,67,1,12.7,0,7,8.1
27.09.2019 15:00,16.5,680.8,73,1,11.6,0,7,8.1
27.09.2019 18:00,13.5,680.8,89,1,11.7,0,7,8.1
27.09.2019 21:00,11.8,680.6,96,1,11.2,0,7.8,8.1
28.09.2019 00:00,10.4,679.1,92,1,9.2,0,7.8,8.1
28.09.2019 03:00,11.2,678.3,91,1,9.7,0,7.8,8.1
28.09.2019 06:00,11.7,679.9,92,2,10.5,7,7.8,8.1
28.09.2019 09:00,14.8,679.9,80,1,11.3,0,1.1,1.1
28.09.2019 12:00,16.5,680.6,59,3,8.5,0,1.1,1.1
28.09.2019 15:00,13.1,681.5,84,1,10.5,0,1.1,1.1
28.09.2019 18:00,11.1,683.2,85,1,8.6,0.8,1.1,1.1
28.09.2019 21:00,10.6,684.0,84,1,8.0,0,0.3,0.3
29.09.2019 00:00,9.6,683.8,95,1,8.8,0,0.3,0.3
29.09.2019 03:00,9.2,683.7,97,1,8.7,0,0.3,0.3
29.09.2019 06:00,9.0,683.2,97,0,8.6,0.3,0.3,0.3
29.09.2019 09:00,12.7,683.2,77,1,8.8,0,0,0
29.09.2019 12:00,17.3,682.6,57,2,8.7,0,0,0
29.09.2019 15:00,15.0,682.1,64,3,8.3,0,0,0
29.09.2019 18:00,12.8,682.1,74,3,8.3,0,0,0
29.09.2019 21:00,10.7,682.0,84,1,8.1,0,0,0
30.09.2019 00:00,8.2,682.1,93,2,7.1,0,0,0
30.09.2019 03:00,6.5,682.3,94,1,5.6,0,0,0
30.09.2019 06:00,6.6,682.4,91,1,5.2,0,0,0
30.09.2019 09:00,12.6,682.4,67,1,6.6,0,0,0
30.09.2019 12:00,19.3,681.9,37,3,4.1,0,0,0
30.09.2019 15:00,19.4,681.4,41,2,5.8,0,0,0
30.09.2019 18:00,14.9,681.1,59,2,6.8,0,0,0
30.09.2019 21:00,12.7,680.6,66,4,6.5,0,0,0
01.10.2019 00:00,8.9,680.0,82,3,5.9,0,0,0
01.10.2019 03:00,7.2,679.3,89,0,5.5,0,0,0
01.10.2019 06:00,6.7,679.5,88,3,4.8,0,0,0
01.10.2019 09:00,14.8,679.6,51,0,4.7,0,0,0
01.10.2019 12:00,22.6,679.3,31,1,4.4,0,0,0
01.10.2019 15:00,22.1,679.4,30,1,3.9,0,0,0
01.10.2019 18:00,16.7,680.5,48,1,5.6,0,0,0
01.10.2019 21:00,11.2,681.9,75,2,6.9,0,0,0
02.10.2019 00:00,10.2,681.9,77,1,6.3,0,0,0
02.10.2019 03:00,8.0,682.6,81,2,4.9,0,0,0
02.10.2019 06:00,8.0,682.9,82,2,5.1,0,0,0
02.10.2019 09:00,15.9,683.3,49,1,5.0,0,0,0
02.10.2019 12:00,21.8,683.1,45,2,9.3,0,0,0
02.10.2019 15:00,22.1,683.0,37,2,6.7,0,0,0
02.10.2019 18:00,16.9,683.2,57,1,8.2,0,0,0
02.10.2019 21:00,13.7,682.6,70,3,8.3,0,0,0
03.10.2019 00:00,12.9,681.6,72,2,7.9,0,0,0
03.10.2019 03:00,9.9,681.1,81,2,6.8,0,0,0
03.10.2019 06:00,10.8,680.5,70,1,5.4,0,0,0
03.10.2019 09:00,15.6,680.1,58,1,7.2,0,0,0
03.10.2019 12:00,24.8,679.5,29,2,5.5,0,0,0
03.10.2019 15:00,24.0,679.5,38,3,8.6,0,0,0
03.10.2019 18:00,17.1,680.1,64,1,10.2,0,0,0
03.10.2019 21:00,12.8,680.5,80,2,9.4,0,0,0
04.10.2019 00:00,11.3,680.2,78,3,7.6,0,0,0
04.10.2019 03:00,12.6,680.4,70,1,7.2,0,0,0
04.10.2019 06:00,12.5,681.0,69,3,7.0,0,0,0
04.10.2019 09:00,22.4,681.5,33,1,5.3,0,0,0
04.10.2019 12:00,25.7,681.4,26,1,4.9,0,0,0
04.10.2019 15:00,25.9,681.3,25,1,4.3,0,0,0
04.10.2019 18:00,18.4,681.6,52,4,8.3,0,0,0
04.10.2019 21:00,15.9,681.5,56,3,7.0,0,0,0
05.10.2019 00:00,12.0,680.8,64,3,5.4,0,0,0
05.10.2019 03:00,10.7,680.2,58,1,2.8,0,0,0
05.10.2019 06:00,9.2,679.8,63,3,2.4,0,0,0
05.10.2019 09:00,19.4,679.0,36,1,3.9,0,0,1
05.10.2019 12:00,25.9,677.0,17,4,-1.0,0,0,1
05.10.2019 15:00,25.5,675.6,20,3,0.8,0,0,1
05.10.2019 18:00,20.0,676.1,45,4,7.7,0,0,1
05.10.2019 21:00,15.2,676.3,57,2,6.6,0,0,1
06.10.2019 00:00,11.6,675.7,55,2,2.8,0,0,1
06.10.2019 03:00,12.6,676.0,52,2,2.8,0,0,1
06.10.2019 06:00,12.2,675.4,61,2,4.9,0,0,1
06.10.2019 09:00,16.8,675.7,54,0,7.5,0,1,1
06.10.2019 12:00,22.0,673.9,37,3,6.6,0,1,1
06.10.2019 15:00,19.6,672.8,45,2,7.3,0,1,1
06.10.2019 18:00,16.3,672.8,61,1,8.8,0,1,1
06.10.2019 21:00,10.6,674.2,93,1,9.5,0,1,1.3
07.10.2019 00:00,10.1,674.7,94,1,9.2,0,1,1.3
07.10.2019 03:00,8.5,676.3,87,1,6.5,0,1,1.3
07.10.2019 06:00,7.8,678.1,87,1,5.8,1,1,1.3
07.10.2019 09:00,7.8,680.1,82,2,4.9,0,0,3.3
07.10.2019 12:00,8.5,681.2,78,1,4.9,0,0,3.3
07.10.2019 15:00,8.2,682.3,80,0,5.0,0,0,3.3
07.10.2019 18:00,8.1,682.7,84,1,5.6,0,0,3.3
07.10.2019 21:00,7.7,682.6,82,2,4.7,0,0.3,5.3
08.10.2019 00:00,7.5,682.2,77,1,3.7,0,0.3,5.3
08.10.2019 03:00,8.5,681.0,70,3,3.3,0,0.3,5.3
08.10.2019 06:00,7.2,682.7,80,0,4.0,0,0.3,5.3
08.10.2019 09:00,10.0,683.5,77,1,6.2,0,3.3,5.3
08.10.2019 12:00,15.8,683.8,53,1,6.1,0,3.3,5.3
08.10.2019 15:00,17.2,683.3,36,1,2.1,0,3.3,5.3
08.10.2019 18:00,12.9,683.3,51,2,2.8,0.3,3.3,5.3
08.10.2019 21:00,10.8,682.8,64,2,4.2,0,5,5
09.10.2019 00:00,9.5,683.1,69,0,4.0,0,5,5
09.10.2019 03:00,9.4,684.3,79,0,5.9,0,5,5
09.10.2019 06:00,8.4,685.4,97,1,7.9,3,5,5
09.10.2019 09:00,7.2,687.4,97,1,6.8,0,2,2
09.10.2019 12:00,8.7,686.8,94,1,7.7,0,2,2
09.10.2019 15:00,8.8,686.9,94,1,7.8,0,2,2
09.10.2019 18:00,7.9,687.3,97,1,7.5,2,2,2
